fps,region,2013,2015,2016,2017,2018,2019,2020,2021,2022
0,Nacional,86.1,88.2,89.2,89.4,90.7,90.8,91.2,90.5,89.9
1,Amazonas,82.9,85,85.1,87.5,85.8,89.2,86.1,85.7,87.1
2,Ancash,92.8,93.8,96.3,96.6,97.1,96.4,95.5,95,91.8
3,Apurimac,93.3,93.2,92,95.2,94.9,96.9,96,96.3,97.6
4,Arequipa,93.1,95.1,95.1,95.3,96.6,96.8,96.6,96.1,96.6
5,Ayacucho,90.2,93.2,95.2,92.8,95.3,94.7,95.1,96.1,95.4
6,Cajamarca,76.6,84.3,82.4,86,89.7,89.7,91.4,85.1,84.8
7,Callao,96.1,95.6,95.8,96.1,96.8,97.6,97.6,97,97.5
8,Cusco,89.8,93.3,92.4,94.8,93.3,94.5,90.1,93.8,94.8
9,Huancavelica,83.3,88.6,87.4,89.4,90.1,90.6,93.6,93.2,93
10,Huanuco,61.4,70.6,75.8,75.6,76.1,73.1,84.3,80.2,85.8
11,Ica,92.3,92.7,92,92.7,93.3,93.8,93.5,94.3,91.8
12,Junin,87.9,91,91.8,90.7,92.4,91.5,93.2,89.6,91.6
13,La Libertad,87.3,90.7,91.6,91.4,91.9,91.6,94.6,94.3,93.2
14,Lambayeque,85.7,89.2,90.2,92.3,93.1,95.1,91.9,93.1,94
15,Lima ,93.7,94.7,96.2,95,96.3,96.2,0,0,0
16,Loreto,55.8,52.8,53.4,55.2,56.6,56.3,60.7,61.9,60.3
17,Madre de Dios,82.5,84.8,87,88,87.7,87.9,86.6,86.1,86.7
18,Moquegua,94.7,96.7,96.5,97,98.1,97.9,97.5,96.7,97.8
19,Pasco,73.6,78.6,78.3,82.7,86.7,83.4,81.2,84.7,82.6
20,Piura,83.2,84.5,84.3,85.9,88.3,88,86.5,87.4,80.2
21,Puno,61.9,64.6,67.7,66.9,69.9,71.6,76.9,76.8,81.4
22,San Martin,79.8,83.2,87.7,87.1,87.7,87.8,90.2,91.2,89.8
23,Tacna,94.8,96.1,96,96.1,97.7,97.8,98,97.2,96.3
24,Tumbes,83.1,84.6,82.8,81.1,78.7,78.8,80.7,90,82
25,Ucayali,74,68.8,68.6,72.8,76.1,75.7,79.7,78.2,72.3
