region,2013,2015,2016,2017,2018,2019,2020,2021,2022
National,67.5,71.9,73.7,74.5,76.8,77.2,76.8,76.5,77.2
Amazonas,42.1,49.1,50.3,51.5,58.8,57.9,59.7,60.1,68.3
Áncash,69.0,69.9,74.8,76.1,78.3,78.7,75.5,79.1,80.0
Apurímac,50.3,50.7,53.2,55.0,59.4,64.4,62.5,68.0,66.8
Arequipa,79.2,82.8,85.1,89.3,89.5,89.9,85.8,86.5,87.2
Ayacucho,56.3,62.9,59.3,62.4,68.7,70.7,68.7,77.2,71.8
Cajamarca,40.9,46.0,45.3,43.7,49.5,47.4,57.8,52.3,60.2
Callao 1/,87.7,86.3,86.8,93.7,95.4,95.5,94.9,95.8,94.7
Cusco,60.9,66.8,72.4,71.4,74.8,72.7,70.1,76.4,79.8
Huancavelica,31.1,38.2,42.3,42.1,44.4,49.3,47.2,66.4,67.8
Huánuco,37.4,41.0,43.9,43.9,45.3,44.2,53.4,47.8,53.0
Ica,78.7,82.2,82.7,88.5,88.4,89.1,87.2,88.1,84.7
Junín,57.0,59.9,63.6,61.6,63.0,67.6,69.4,68.2,71.5
La Libertad,69.5,74.0,76.2,79.4,80.7,79.4,76.5,79.9,83.0
Lambayeque,71.1,77.1,79.4,80.1,80.9,80.7,80.9,80.4,80.8
Lima,65.3,72.6,74.7,73.9,78.4,76.7,80.2,80.4,81.8
Loreto,31.3,38.9,38.5,40.3,43.2,44.5,41.9,45.3,45.5
Madre de Dios,46.2,48.4,49.6,53.9,54.9,55.5,51.2,41.3,38.6
Moquegua,80.7,87.9,87.7,88.7,89.6,89.3,85.9,86.0,92.7
Pasco,50.8,54.7,58.8,64.5,67.4,67.1,62.6,69.9,70.8
Piura,53.8,60.8,64.6,64.9,69.9,68.5,64.4,64.6,61.5
Puno,50.0,53.4,56.5,56.6,59.0,59.7,62.2,59.9,63.1
San Martín,39.7,49.3,46.5,48.6,53.4,55.2,63.3,58.4,60.7
Tacna,87.0,90.0,91.2,90.2,91.8,91.8,91.9,83.8,86.3
Tumbes,66.0,71.7,68.5,72.1,71.4,70.4,68.4,71.1,72.0
Ucayali,31.1,39.6,42.5,42.2,45.7,48.2,50.8,45.0,40.4
