region,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2021,2022
Nacional,37.2,37.7,30.7,32.9,34.0,35.6,32.6,33.3,34.1,32.8,29.5,29.0,28.4,33.6
Amazonas,38.6,40.3,29.6,39.3,37.7,45.1,35.0,33.8,38.1,34.4,28.4,25.2,28.0,33.7
Áncash,39.3,40.7,28.6,29.7,26.8,32.7,37.1,28.8,34.6,33.4,29.3,27.0,29.2,35.8
Apurímac,48.3,50.0,36.2,36.1,36.3,40.2,43.3,39.7,42.6,39.4,38.0,38.1,38.4,39.8
Arequipa,46.9,29.5,24.1,29.9,28.8,29.3,31.2,32.2,24.2,27.8,25.8,29.6,27.3,24.3
Ayacucho,40.2,35.5,28.3,39.6,42.7,40.0,35.5,41.1,36.6,36.7,34.2,34.1,35.8,40.2
Cajamarca,30.4,50.8,34.6,32.7,38.5,35.5,25.8,22.9,25.3,22.8,20.4,22.8,23.9,27.0
Prov. Const. del Callao,-,-,-,-,-,30.8,27.3,34.6,24.8,28.2,23.9,22.5,20.6,27.5
Cusco,62.1,45.5,48.5,38.8,46.7,46.7,41.7,46.8,49.3,44.7,46.5,41.9,40.8,44.5
Huancavelica,49.9,56.9,38.4,43.9,41.6,49.0,42.5,45.4,43.4,46.6,45.3,40.9,45.1,52.5
Huánuco,43.4,51.1,41.8,38.7,34.8,33.8,33.4,35.7,34.8,32.8,28.1,29.3,29.6,40.6
Ica ,30.8,36.2,29.2,25.9,28.6,25.9,33.4,31.1,30.2,30.8,26.7,25.1,25.0,24.9
Junín,46.1,32.6,43.7,31.3,43.1,51.6,40.3,41.9,44.0,42.3,42.4,39.7,33.7,36.3
La Libertad,36.9,38.9,23.4,36.7,30.9,27.4,24.7,23.8,30.7,26.1,22.6,25.4,25.3,28.4
Lambayeque,22.9,21.3,31.3,24.1,25.3,25.8,23.7,26.9,25.8,27.5,26.0,26.8,24.8,26.2
Lima,-,-,-,-,-,27.0,26.8,25.6,27.4,27.0,22.1,-,19.3
Loreto,34.9,43.8,42.8,49.5,47.8,54.7,44.0,49.9,52.1,48.6,41.4,39.0,44.2,55.5
Madre de Dios,39.4,44.7,41.8,39.9,48.2,51.3,44.3,42.9,44.9,41.6,43.2,43.8,44.1,49.4
Moquegua,43.3,34.5,28.3,26.4,23.9,28.2,28.6,29.2,26.9,26.4,26.4,23.7,24.6,20.3
Pasco,53.0,41.5,38.4,43.4,49.0,46.3,45.9,49.4,47.0,42.7,39.7,39.6,39.0,45.2
Piura,30.3,27.1,23.7,29.5,33.2,33.0,26.9,30.4,31.2,30.8,28.6,28.8,25.1,28.3
Puno,53.8,64.8,61.4,61.5,65.8,63.5,61.8,62.3,66.3,55.8,58.6,58.0,54.7,57.9
San Martín ,22.1,28.5,23.3,24.0,22.4,35.6,32.7,35.8,36.5,38.1,31.9,32.6,29.4,37.3
Tacna,35.6,35.1,34.4,27.4,35.1,30.9,27.9,25.5,25.3,26.0,22.7,20.7,18.0,21.1
Tumbes,33.7,38.2,32.2,38.2,42.3,40.2,36.8,37.8,36.6,34.9,32.2,31.0,30.4,31.9
Ucayali,52.2,53.1,36.7,39.9,40.9,46.0,43.3,47.2,48.3,45.5,42.8,45.1,48.4,57.5
