region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
National,53.7,60.5,63.5,64.5,61.9,65.5,69.0,73.0,75.8,76.4,76.5,77.7,77.2,81.3,86.0
Amazonas,55.9,63.0,68.3,69.9,66.6,75.2,80.8,87.0,86.8,85.5,86.2,89.9,88.4,90.5,92.0
Áncash,44.7,55.1,63.3,65.4,64.9,68.9,71.6,74.1,76.6,80.6,81.7,82.7,82.6,87.2,92.1
Apurímac,71.6,82.7,89.1,87.8,87.9,89.9,90.8,90.6,91.1,90.9,92.8,90.1,91.1,94.0,95.9
Arequipa,53.5,57.8,62.5,65.0,57.9,57.1,55.9,60.9,63.2,64.1,65.5,66.9,63.9,74.3,79.1
Ayacucho,72.8,82.0,85.3,85.4,77.3,80.8,85.8,87.8,88.8,88.5,89.9,89.5,88.5,90.7,92.9
Cajamarca,57.4,68.6,74.6,78.1,73.8,77.6,77.1,82.6,82.2,84.5,85.6,87.1,86.6,90.2,90.7
Callao   ,54.4,61.6,64.3,61.0,63.7,70.2,75.1,76.7,78.6,76.8,77.3,77.5,76.7,81.3,86.3
Cusco,56.3,64.8,67.7,73.7,70.9,70.9,72.2,76.5,77.2,76.7,77.5,82.3,82.3,85.1,89.7
Huancavelica,64.4,82.9,88.3,90.1,85.3,87.4,91.8,94.5,94.3,93.5,94.0,94.1,94.3,95.7,97.1
Huánuco,70.2,77.9,81.9,81.3,79.3,80.2,78.2,80.2,82.5,83.4,82.9,85.8,86.9,90.5,90.5
Ica,49.4,55.9,60.1,63.8,61.1,61.9,61.1,63.9,66.4,66.6,67.4,71.1,70.8,73.2,79.7
Junín,43.3,45.6,51.3,52.6,48.3,53.8,59.7,65.7,72.2,74.2,74.4,73.7,76.4,81.0,86.6
La Libertad,57.3,66.7,67.3,64.4,62.9,64.1,68.2,70.3,75.0,73.6,73.7,72.8,73.6,76.5,82.7
Lambayeque,59.3,66.6,65.8,59.0,49.4,56.9,61.6,70.6,78.5,77.9,77.5,78.6,79.0,85.7,95.4
Lima ,48.7,52.8,54.1,56.3,58.8,62.6,66.9,70.2,73.1,73.8,73.2,74.8,73.3,,
Loreto,66.0,76.0,83.6,81.8,66.8,74.2,79.5,80.1,83.9,83.9,84.5,86.8,85.1,88.3,90.6
Madre de Dios,42.9,49.1,51.6,55.6,47.3,46.5,52.1,62.0,67.1,67.7,68.9,69.9,72.1,77.8,82.5
Moquegua,53.5,61.7,66.8,64.8,64.4,62.8,66.4,74.2,77.5,76.4,79.8,80.8,77.9,83.0,87.0
Pasco,46.6,56.4,62.1,59.6,53.3,64.6,67.6,76.9,82.1,84.2,84.4,85.0,84.4,86.7,93.3
Piura,51.2,62.8,66.0,63.6,55.1,61.7,68.2,70.3,74.5,76.8,77.9,78.9,79.8,85.9,89.1
Puno,54.5,57.4,54.0,62.5,57.6,60.7,62.9,68.7,70.1,71.5,70.7,69.6,68.2,74.2,78.4
San Martín,58.9,67.2,74.6,75.4,67.3,66.4,77.0,83.7,85.2,85.3,82.1,83.6,84.3,85.8,88.8
Tacna,45.8,46.7,51.9,40.1,40.9,44.0,48.0,55.1,57.6,54.8,57.6,60.3,68.4,71.5,79.9
Tumbes,59.1,64.9,65.0,69.3,61.2,68.7,76.6,81.1,86.9,85.7,84.0,84.2,85.4,86.9,93.1
Ucayali,56.0,64.0,67.8,65.2,60.9,61.8,61.3,70.9,72.9,75.2,74.2,76.1,76.7,80.5,84.0
