region,2009,2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022
National,23.8,23.2,19.5,18.1,17.5,14.4,13.1,12.9,12.2,"12,2",12.1,11.5,11.7
Amazonas,26.8,27.5,29.2,27.1,30.8,22.7,19.3,17.1,20.4,17.9,17.5,19.2,21.7
Áncash,28.2,27.0,24.7,22.0,20.5,18.7,17.1,16.1,16.4,16.2,16.8,16.5,13.9
Apurímac,34.8,39.3,32.2,29.0,27.3,22.3,20.0,20.9,20.1,16.1,17.5,19.4,17.9
Arequipa,12.2,9.0,7.3,8.7,7.3,7.5,6.3,4.9,5.3,6.1,"(6,0)","4,9","(4,8)"
Ayacucho,41.4,35.3,29.5,28.0,26.3,21.7,18.9,20.0,20.2,"17,3",18.1,16.0,19.2
Cajamarca,39.8,37.6,34.2,35.6,32.2,23.9,26.0,26.6,27.4,"25,6",24.4,20.9,19.6
Callao,-,-,-,-,7.0,6.5,5.9,5.2,6.0,"3,8",5.6,"4,4","(4,6)"
Cusco,38.4,29.9,24.3,20.0,18.2,16.7,14.6,13.4,14.0,"14,0",13.5,12.7,12.2
Huancavelica,53.6,54.2,50.2,42.4,35.0,34.0,33.4,31.2,32.0,"30,7",31.5,27.1,29.9
Huánuco,39.2,34.3,30.9,29.0,24.8,24.2,19.2,19.6,22.4,"19,4",19.2,17.8,19.0
Ica,10.3,8.9,7.7,7.7,6.9,6.7,7.1,8.3,5.0,"5,5",5.9,"4,4","(6,5)"
Junín,33.7,26.7,24.4,24.2,22.1,19.8,20.5,17.3,19.2,"18,7",17.5,14.3,16.8
La Libertad,27.2,23.2,21.0,22.1,19.9,15.9,12.2,15.6,14.8,"12,7",13.4,14.9,15.6
Lambayeque,18.2,16.2,14.0,14.2,14.3,14.1,11.8,10.5,9.3,"11,2",9.5,"9,2",9.5
Lima  ,-,-,-,-,4.6,5.8,-,,4.5,,,,
Loreto,29.1,34.2,32.3,27.7,24.6,23.2,23.6,23.8,20.0,"23,7",25.2,23.6,21.8
Madre de Dios,12.5,11.9,12.1,11.6,9.8,10.2,8.3,7.3,7.0,"8,4","(8,5)","6,2","(7,1)"
Moquegua,5.1,5.7,4.4,4.1,4.2,3.5,4.5,3.4,2.3,"2,5","(2,2)","2,9","(2,9)"
Pasco,38.4,24.8,"26,0",26.5,24.9,22.4,24.8,22.8,19.3,"16,0",18.0,16.7,16.9
Piura,23.0,20.9,"21,7",24.9,21.7,20.3,15.3,15.9,13.1,"13,0",13.0,16.4,13.0
Puno,27.3,21.5,20.0,19.0,17.9,14.5,16.4,16.1,15.0,"12,6",14.2,12.5,11.2
San Martín,28.2,22.8,16.8,15.5,16.0,16.3,12.1,12.1,10.5,"11,5",10.8,11.7,11.7
Tacna,2.1,3.7,3.1,2.9,3.7,2.6,2.3,3.2,1.3,"2,4","(1,9)","1,5","(2,8)"
Tumbes,13.5,11.0,10.1,9.1,8.3,9.1,7.4,8.2,8.1,"7,5",7.3,7.7,6.9
Ucayali,29.9,31.4,24.7,24.5,26.1,24.0,24.8,19.4,17.8,"17,7",17.4,17.5,19.7
