fps,region,2008,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2022
0,Nacional,65.75779226,66.26948527,70.8,74.6,77.2,78.8,79.2,81.5,82.6,83.4,70.3,75.2,75.2,77.8
1,Amazonas,57.38709063,50.49503618,69.6,75.3,77.8,83.9,84.7,81.2,80.4,85.7,78.4,84.5,84.5,83
2,Ancash,69.63605794,71.21442912,73.2,72.2,85.8,82.8,84,81.7,77.5,81.4,78.2,75.3,75.3,82
3,Apurimac,64.25081032,71.85131425,74.4,80.4,81.3,85.5,93.4,88.1,86.5,88.2,88.4,81,81,90.9
4,Arequipa,70.40294757,69.89929073,80.6,82.2,71.5,79.9,76.2,85.6,88.4,85.5,70.1,75.1,75.1,78.2
5,Ayacucho,51.66594215,54.29218812,64.1,75.8,74,74.6,81.6,81.5,83.1,86.1,71.8,83.3,83.3,82.5
6,Cajamarca,60.6804316,55.95717319,69.6,73.5,82.2,85.7,80.8,87.3,84,86.8,79.7,80.8,80.8,85.4
7,Callao,73.47825189,71.53471884,82.8,79.4,83.7,86,87.1,80.1,86.5,89.3,74.8,72,72,71.7
8,Cusco,64.07171425,58.78741705,57,75.2,70.9,85.7,82.4,86,84.5,87.1,75.1,77.3,77.3,80.3
9,Huancavelica,63.87180591,67.97773764,69.9,74.8,76,80.2,75.6,83.2,87,86.4,88,90.1,90.1,84.3
10,Huanuco,49.73264935,49.26919134,51.4,70.1,72.1,77.6,77.8,78.1,75.2,78.1,71.3,74.5,74.5,85.7
11,Ica,80.72832403,86.79707028,83.7,86.4,88.5,87.8,84.1,85.8,89.7,90.9,78.8,77.6,77.6,82.2
12,Junin,48.36534186,50.95922339,60,70.2,62.2,74.8,73.5,78,74.2,75.6,55.3,78.7,78.7,77.8
13,La Libertad,61.18158613,62.48796617,70.7,71.6,78.4,75.6,76.3,75.6,82.9,83.8,75.5,77.3,77.3,75.8
14,Lambayeque,67.96599854,69.43697223,64.7,70.2,72.2,79.2,80.6,75.8,77.2,81.3,60.8,59.8,59.8,79
15,Lima ,73.12685853,74.55091596,67.8,83.3,76,80.3,82.7,82.8,85.8,88.9,66.3,74.6,74.6,80.8
16,Loreto,60.84909447,60.73901221,57.3,66.6,67.1,76.7,76.7,77.2,81.4,80.8,61.5,66.2,66.2,78.3
17,Madre de Dios,67.48844712,60.58646412,70.2,69.2,60.8,68.4,71.3,62.2,68.4,71.4,66.9,72.4,72.4,85.5
18,Moquegua,71.9062284,85.12208983,77.5,89.3,84.4,86.6,81.3,83.6,87.3,96.8,73.3,93.4,93.4,87.3
19,Pasco,73.08559733,60.98285217,72.4,68.6,71.5,72.6,72.9,80.6,79.4,78.5,72.9,78.8,78.8,77.3
20,Piura,56.68748598,65.61303719,64.3,71.1,75.7,71.2,76.6,75.7,79.1,82.1,76.5,82.2,82.2,82.2
21,Puno,55.01868035,54.99455478,63.1,68.4,69.4,77.4,69.3,71.8,72.3,69.4,61.1,75.5,75.5,74.5
22,San Martin,57.75817485,58.71412528,64.1,66,67.8,76.5,70.9,83.2,78.3,79.8,72.9,68.9,68.9,72.3
23,Tacna,72.21536862,75.66604264,80.1,78,75.1,85.8,80.6,87.8,88.8,92.9,65.9,78.5,78.5,82.8
24,Tumbes,89.11056434,96.26473492,88.5,88,80,85.6,80.8,79.1,88.2,81.9,76.7,78.5,78.5,89.4
25,Ucayali,58.3396427,62.16274077,66.3,63.8,61.9,71.8,72.6,73.5,78.1,77.3,60.6,65.5,65.5,71.5
