fps,region,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2022
0,Nacional,93.69508825,93.99997971,93.3,91.6,92.4,91.9,91,91.1,91.4,93.3,93.6,90.1,91.3,91.3,93.1
1,Amazonas,92.4726181,95.71049096,94.5,94.3,92.8,91,95.7,91.8,92.2,92.8,91.8,85.8,94.7,94.7,94.3
2,Ancash,95.05662783,93.81634066,94.7,91.4,93.8,91.7,92.1,91.1,92.6,93.3,93.7,93.5,91.8,91.8,93.7
3,Apurimac,96.36734762,92.96818561,92,83.6,91.2,93.4,88.4,94.4,92.4,96,96.9,89.4,93.5,93.5,94.7
4,Arequipa,95.33086998,93.69839024,94.4,93.4,93.7,91.9,89.4,93.7,92.8,93.8,93.9,93,90.9,90.9,92.7
5,Ayacucho,93.01899285,94.08183469,92.2,93.8,94.1,87,93.5,90,93.9,94,93.2,90.7,93.3,93.3,95.1
6,Cajamarca,92.70857434,95.82963252,93,96,93,93.4,93,92.2,93.1,93,94.6,92.2,93.8,93.8,94.1
7,Callao,95.46428836,92.04095971,95.7,90.9,93,88.3,90.7,88.7,90.4,90.2,91.9,86.9,90.3,90.3,89.5
8,Cusco,95.22298089,94.78707962,95.5,93.8,91.6,91.1,91.3,92.2,93.6,93,96.1,96.8,92.9,92.9,93.3
9,Huancavelica,97.02663826,96.09388741,95.9,92.7,94.1,94.3,92,92,92.1,94.2,92,95.1,94,94,95.5
10,Huanuco,92.81789348,94.0681313,93.1,92.3,95.1,92.3,93.1,92.6,93.5,92.6,91.9,95.2,92.4,92.4,92.5
11,Ica,96.90781728,96.35902716,92.4,93.6,93.1,93,92.8,92,89.6,91.8,95.8,88.9,95.3,95.3,94.3
12,Junin,94.39706318,93.94659832,94.7,90.7,90.4,93.3,91.3,89.8,91.4,93.7,89.6,90.1,93.6,93.6,93
13,La Libertad,91.73160402,91.854538,95.1,92.1,91.2,94.8,92.4,91.1,90.8,92.5,93.8,90.9,89.2,89.2,91.9
14,Lambayeque,95.0966162,92.63741654,95.3,92.9,94,91.6,89.3,90,87.4,92,93.1,88.6,93.1,93.1,92.4
15,Lima ,91.85214278,96.32291137,94.28338008,93.8,94.1,94.6,90.1,91.2,93,93.4,92.6,87.5,92.8,92.8,93.4
16,Loreto,91.18626423,91.31069716,90.1,84.9,90.5,91.9,91.4,89.6,89.8,93.3,94.3,78.9,90.2,90.2,91.4
17,Madre de Dios,96.15144526,94.48891822,93.6,92.4,93.6,91.1,91.9,93,91,93.8,95.4,88.6,92.9,92.9,95.4
18,Moquegua,93.00203742,93.97340738,95.5,95.4,95.7,91.1,94.6,92.6,91.7,92.1,93.6,90,93.2,93.2,94.1
19,Pasco,91.4193226,97.56995929,92.6,93.8,93.1,94.5,94.5,94,92.1,93.6,95.6,93.1,90.9,90.9,94.3
20,Piura,91.18071026,95.29638053,91.4,93,93,90.7,92.4,90.3,87.7,92.7,94.7,90.8,93.8,93.8,93.8
21,Puno,92.81288613,94.55633907,89.2,90.4,91.1,91.8,91.8,93.5,88.1,95.6,94.4,96.2,94.8,94.8,95.8
22,San Martin,93.65465773,95.98393966,96.2,91.4,93,92,91.4,94.1,93.1,92.2,93.1,88.5,86.9,86.9,93.2
23,Tacna,92.86440613,91.35147497,95.9,94.8,92.3,93,91.6,94.3,95.5,95.7,95.4,92.8,96.1,96.1,95.3
24,Tumbes,95.99585774,95.9839711,94.7,96.1,92.7,91.4,90.9,89.5,90,93.8,97.5,90.9,92.7,92.7,95.6
25,Ucayali,88.6092322,91.58033932,92.4,88.8,87.2,87.9,85.8,92.6,90.9,91.2,92.8,84.8,84.9,84.9,89.3
