fps,region,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Nacional,75.4859859,77.54697011,78.5,80.3,81,82.3,83.4,83,83.9,84.7,84.5,80.8,83.5,84.3
1,Amazonas,64.02853389,62.60714439,63.3,64.1,66.6,72.3,76.9,70.1,79.6,82.2,80.7,79.3,80,81.2
2,Ancash,78.52147259,78.28580564,80.6,79.7,83.9,87,88.3,86.1,85.7,85.1,86.3,79.3,82,84.7
3,Apurimac,77.23061134,82.95322014,79.9,78.7,84.1,83.3,83.1,82.4,87.2,86.8,84.3,84.9,86.1,90.9
4,Arequipa,87.96511201,83.88202454,90.5,90.7,86.3,88.5,88.6,92.9,90.5,90,90,89,89.3,88.1
5,Ayacucho,69.05502016,71.217565,72.1,74.2,76.9,79.9,84,83.3,86.4,84.4,85.9,82.3,80.3,82.5
6,Cajamarca,64.10925295,62.06186099,70.7,66.2,72.4,75.1,79.4,76.9,81,79.2,83.7,78,83.6,84.5
7,Callao,84.59504581,85.09943228,86.2,86.5,83.4,86.3,87.4,82.6,84.8,86.2,87.9,85.3,86.9,86.1
8,Cusco,76.65233684,81.89062999,84.1,84,84.6,86.1,88.3,86.6,84.4,85.3,87.1,84.2,86.2,90
9,Huancavelica,71.87063354,72.32577417,74.8,77.9,79.2,81.8,85.5,85.2,87.4,85.1,86.3,84.9,85.6,83.5
10,Huanuco,64.75088848,60.92535465,65.7,70.8,71.2,73.5,74.4,74.4,76.9,75.9,80.4,79.1,79.4,77.9
11,Ica,84.8987632,84.17338302,83.3,82,88.8,87.5,87.9,88.2,90.4,89.7,88,81.4,84.3,86.6
12,Junin,74.9457753,83.76658116,82.3,84.5,86.2,78.5,81.2,81.7,84.2,83.5,83.8,79.1,80.1,82.7
13,La Libertad,68.70324931,72.78602625,71.8,77.1,76.1,77,80.4,77.8,79.4,81.5,78.6,79.1,83.3,81
14,Lambayeque,70.10715484,77.30483164,79.5,78.3,82.6,81.9,79.2,82.2,79.2,81.8,84.5,82.1,82.3,82
15,Lima ,81.29433618,80.10191953,82.34674465,84.5,86.4,87.7,88.4,90,87.3,89.2,87.5,78.8,84.4,89.5
16,Loreto,58.61497426,57.74000695,55.5,55.1,63.1,68,68.4,70.6,74,73.4,75.2,64,69.9,71.8
17,Madre de Dios,81.97256213,82.74093941,82.6,79.1,86.3,86.6,83.6,80,85.1,87,92.3,89.3,81.7,85.3
18,Moquegua,87.20113469,87.53126624,86.5,89,92.7,88.6,87.4,88.1,90.9,91.8,90.6,93.3,91.3,91
19,Pasco,76.79563397,76.22843215,79.3,80.4,83.2,80.9,81.4,80.7,84.8,84.9,88.1,82.6,85.8,83.3
20,Piura,64.62429963,71.05284569,72.9,79.3,76.9,79.8,81.9,80.4,77.9,82.5,80.6,79.4,77.8,80.4
21,Puno,78.05597753,79.18388727,81.2,86.5,85.9,86.9,85.3,89.5,86,90.1,86.7,90.8,87.6,90.6
22,San Martin,69.60369688,70.52674762,71.5,75.3,75.8,79.7,82.4,75.4,71.9,78.9,79.4,74,77.3,82.6
23,Tacna,87.83405746,87.76809888,90.6,89.4,87.1,87.3,91,91,90,90.5,89.6,89,92.9,92
24,Tumbes,69.29798527,78.40718532,78.1,87.1,82.7,87.3,89.2,90,85.3,87.5,87.3,80.9,84,89.6
25,Ucayali,66.07076505,67.43515986,74.06566669,69,68.8,69.3,72,79.2,76.3,76.4,72.3,70.2,65.2,71.6
