fps,region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,National,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,Sin nivel/inicial ,5.373753935,5.115918547,5.1,4.9,4.4,4.4,4.3,4.1,4.2,4,3.8,3.7,3.4,3.5,3.5
0,Primaria,24.05045468,23.65981712,23,22.8,21.9,22.1,21.9,21.5,21.3,20.9,20.7,20.1,19.7,20,18.9
0,Secundaria,43.74759321,43.09159399,43.7,43.4,43.6,43.8,44.4,45.4,44.2,44.5,44.2,43.9,45.8,46.4,46.8
0,Superior no universitaria,12.88608417,13.43011388,13.7,14,13.8,13.5,12.9,12.5,13.6,13.5,13.8,14.4,14.3,14.1,14.5
0,Superior universitaria 1/,13.942114,14.70255647,14.6,14.9,16.3,16.3,16.5,16.4,16.7,17.1,17.6,17.8,16.7,16,16.4
1,Amazonas,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,Sin nivel/inicial,6.129956735,5.947536255,6.4,6.4,5.6,6.3,6.1,5.1,6,6.2,5.5,5.8,4.6,4.2,4.4
1,Primaria,44.78525664,42.66139538,42.5,42.1,41.4,41.9,39.2,39.1,38.3,36.6,36.5,33.7,35.6,34,33.2
1,Secundaria,35.54242946,35.34624968,36.1,36,35.8,33.2,36.3,37.4,36.5,37,38.5,39.9,38.9,40.8,40.9
1,Superior no universitaria,7.736875911,9.046900855,8.6,8.4,8.9,9.6,9.9,7.7,8.1,8.6,9.4,9,10.8,10.4,11.2
1,Superior universitaria 1/,5.805481253,6.997917837,6.4,7,8.2,8.9,8.4,10.7,11.1,11.7,10.2,11.7,10.1,10.7,10.4
2,Ancash,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,Sin nivel/inicial,9.16906622,8.622577669,8.1,7.4,7.2,5.9,6.1,6.2,5.6,6.3,6.2,5.8,5.3,5.2,5.4
2,Primaria,29.2473679,28.64130797,26.2,25.8,24.5,26.7,26.6,26.2,24.8,24.8,24.5,24.6,24.6,24.3,22.8
2,Secundaria,40.60292157,39.77817194,42.2,41.1,42.2,41.9,41.1,43.5,43,43.9,43.6,41.3,43.7,42.7,44.6
2,Superior no universitaria,10.31006187,12.11933601,11.9,11.5,11.9,11.5,10.8,9.9,10.2,10.6,10.2,11.9,11.5,10.7,11
2,Superior universitaria 1/,10.67058243,10.83860641,11.5,14.1,14.2,14,15.4,14.2,16.5,14.4,15.5,16.4,14.8,17.1,16.2
3,Apurimac,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,Sin nivel/inicial,14.62880259,13.53618425,11.5,12.5,10.1,11,12,9.7,11.2,9.5,9.8,9.1,8.9,8,7.8
3,Primaria,29.58032649,29.44153357,30.1,30,29,28.4,29,26.3,25.5,27.6,28.4,23.9,23.1,25.7,24.5
3,Secundaria,38.13068893,39.38310095,40.4,38,38.6,37.3,35.2,40.5,42.8,40.6,41.5,41.8,43.9,41.9,42.6
3,Superior no universitaria,6.768188897,7.806970343,6.9,8.7,8.5,7.9,8.9,9,8.6,8.9,9.2,10.5,10.3,11.4,9.8
3,Superior universitaria 1/,10.8919931,9.832210886,11.1,10.8,13.8,15.4,15,14.4,11.9,13.4,11.2,14.7,13.8,12.9,15.4
4,Arequipa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,Sin nivel/inicial,3.349843343,3.690792607,3.5,3.9,3,3.1,3.3,3.3,3.1,2.8,2.8,2.3,2.5,2.5,2
4,Primaria,14.79011636,16.05323382,16.2,16.9,17,15.8,16.4,14.8,14.7,15.1,14.8,13.9,13.9,14.4,13.9
4,Secundaria,41.69790795,41.96529306,39.9,43.5,42.2,42.7,42.1,44.4,44,43.4,43.2,42.7,44.2,44.3,43.1
4,Superior no universitaria,18.02277337,15.52864608,17.4,16.3,17.3,17.4,18,17.1,18.3,18.1,17.7,17.6,17.3,17.9,17.9
4,Superior universitaria 1/,22.13935898,22.76203444,23.1,19.4,20.5,21,20.3,20.4,19.8,20.7,21.5,23.5,22.1,20.9,23.2
5,Ayacucho,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,Sin nivel/inicial,11.06531462,11.11242332,10.4,10.4,9.9,9.8,9.5,8.7,8.1,7.5,7.9,7.9,6.3,7.8,6.4
5,Primaria,32.14822415,29.500473,28,28,27.7,28.9,28.2,27.2,29.2,26.6,26,26.1,25.1,22.9,23.3
5,Secundaria,38.76548864,40.62327944,41.1,41.3,40.5,39.6,42.3,44.3,39.7,43,43,42.7,44.6,46.8,44.9
5,Superior no universitaria,8.548908518,8.183958291,9,9.7,9.8,10,8.1,8.1,10.7,11,10.5,10.9,10.9,11.3,12.2
5,Superior universitaria 1/,9.472064077,10.57986594,11.6,10.7,12.1,11.6,11.9,11.7,12.3,11.9,12.6,12.2,13.1,11.2,13.2
6,Cajamarca,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,Sin nivel/inicial,10.67698968,10.23531189,10.3,9.3,8.5,9.3,9.8,8.6,10,8.7,7.9,8.2,7.7,7,8
6,Primaria,43.94624213,44.338302,42.1,43.3,40.3,40.7,40.7,40.2,41.3,41.6,41.2,37.9,37.2,36.4,35.3
6,Secundaria,30.46996091,27.80956116,29.3,28.8,32.9,32,32.5,33.9,33,34.2,31.9,35.1,35.3,35.4,36.3
6,Superior no universitaria,8.002137115,9.792935237,8.8,10.7,8.9,8.4,8.2,7.8,7.1,6.9,8.6,7.7,9,10.1,9.5
6,Superior universitaria 1/,6.904670164,7.823889712,9.4,7.9,9.3,9.6,8.7,9.4,8.6,8.7,10.4,11.2,10.8,11,10.8
7,Callao,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,Sin nivel/inicial,2.304395493,1.968333218,1.8,1.6,1.7,1.3,1.3,1.8,1.7,1.6,1.4,1.5,1.4,1.7,1.8
7,Primaria,14.40824392,14.11171104,12.8,14.8,13.9,13.6,12,12.3,11.2,10.9,11.6,10.1,10.9,10.4,11.6
7,Secundaria,52.75305646,49.11394942,52.3,53.2,51.4,52,54.8,56.7,51.5,52.4,52.9,51.3,53.9,55.1,54.8
7,Superior no universitaria,16.66942678,19.09137048,18.9,18.7,17.9,18.6,16.7,15.7,20.3,18.4,19.2,19.5,18.2,17.4,17
7,Superior universitaria 1/,13.86487735,15.71463584,14.2,11.8,15.1,14.6,15.2,13.5,15.3,16.7,14.9,17.7,15.7,15.4,14.8
8,Cusco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,Sin nivel/inicial,9.997528965,7.871134057,8.81608762,7.8,7,7,8.2,7.9,7.2,7.2,6.6,6.3,5.7,5.9,6.5
8,Primaria,28.28439134,27.92431345,27.89563187,24,23.6,24.4,26.4,26.2,25.2,25.9,25.3,25.4,24.2,24.9,21.8
8,Secundaria,38.23503846,39.92404656,40.52922234,41.2,40.1,39.5,38.4,40.3,38.8,39.2,39.2,39.5,43.3,41.4,40.5
8,Superior no universitaria,10.71405833,10.98009482,10.09374097,11.2,13.2,13.2,10.8,10.6,12.9,12.5,13,13.2,13.9,14,14.4
8,Superior universitaria 1/,12.7689829,13.30041111,12.6653172,15.7,16,15.9,16.2,15,16,15.2,15.9,15.6,13,13.8,16.9
9,Huancavelica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,Sin nivel/inicial,12.47083604,11.77345207,12.83182981,11.2,10.2,9.7,10.6,10.1,9.2,9.7,8.2,8.5,6.4,5.6,5.8
9,Primaria,35.28391398,35.52065452,34.45639742,33.6,33.5,31.7,33.7,29.9,29.7,30.2,29.5,29.8,25.3,27,24.2
9,Secundaria,38.00584399,38.84739757,38.94856782,39.7,41.8,43.8,41.5,44.2,42.6,43.5,44.1,42.4,46.9,47.7,47.4
9,Superior no universitaria,6.45684203,6.515826808,6.665336105,7.3,6.3,6.3,6.9,6.6,8.2,9.1,9.1,10.4,10.3,9.4,11.9
9,Superior universitaria 1/,7.782563962,7.342669036,7.097868849,8.1,8.2,8.6,7.2,9.3,10.3,7.5,9.1,8.9,11,10.3,10.7
10,Huanuco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,Sin nivel/inicial,9.990370853,10.72340297,10.26370942,10.7,10.5,11.2,9,8.9,8.6,8.8,8.7,8.8,7.6,9.2,9.7
10,Primaria,38.42049574,37.41864485,37.34729335,34.6,33.3,32.5,35.5,34.8,35.7,34,33.4,32,33.2,33.4,32.9
10,Secundaria,35.34089865,34.74469406,33.14084993,35.6,35.3,36.3,37.6,37.3,36.5,36.9,36.6,38.1,36.8,38,37.9
10,Superior no universitaria,5.418549443,6.736519449,7.139442546,6.5,6.9,7,6.4,5.5,5.5,7.5,7.5,7.8,8.3,7.5,8.1
10,Superior universitaria 1/,10.82968531,10.37673866,12.10870476,12.6,14,13,11.5,13.6,13.7,12.8,13.7,13.3,14,11.8,11.4
11,Ica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,Sin nivel/inicial,2.80655069,2.568888577,2.329266178,2.1,2,1.9,1.7,1.6,1.9,1.4,1.4,1.6,1.9,2.2,2.3
11,Primaria,17.12099328,16.43386152,16.94241087,16.1,15.1,15.1,14.4,14.6,12.8,12.8,12.4,11.8,13.2,14.5,13.3
11,Secundaria,45.50623764,45.49880344,45.34040846,45.9,47.7,46.5,47.6,47.9,49.1,50.1,47.6,46.4,48.3,48.9,48.3
11,Superior no universitaria,19.21388728,17.96006935,19.54170847,19.5,17.6,18.5,17.7,17.7,19.2,17.4,19.1,21.5,19.4,18.4,20.1
11,Superior universitaria 1/,15.3523311,17.53837712,15.84620603,16.3,17.7,18.1,18.6,18.1,17.1,18.2,19.5,18.7,17.2,16,16
12,Junin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,Sin nivel/inicial,5.297913954,5.36168726,5.233262314,4.2,4.1,4.4,4.7,4.3,4.4,3.8,4.2,4.3,3.8,4.4,3.8
12,Primaria,25.85651557,24.22205726,24.39859495,23.1,23.9,22.7,22.6,23.4,24.5,24.5,23.8,23.2,21.3,22.3,20.3
