region,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
National,41.9,39.4,41.9,45.5,46.1,46.1,48.3,51.2,48.8,47.7,48.3
Amazonas,13.0,12.8,15.6,13.4,17.9,19.2,19.9,19.5,16.2,17.4,16.4
Áncash,33.9,25.3,26.5,23.3,28.1,26.2,30.6,30.8,28.0,26.2,26.4
Apurímac,11.4,10.2,15.4,13.5,11.8,14.5,12.2,18.2,9.7,9.2,10.7
Arequipa,70.0,66.4,67.1,69.5,73.8,77.0,71.4,78.5,72.8,70.2,72.3
Ayacucho,13.2,13.7,15.7,14.7,17.0,20.7,22.1,19.5,18.5,15.9,18.5
Cajamarca,21.6,18.9,13.6,17.4,16.1,19.2,21.1,20.2,14.0,17.7,16.8
Callao,58.8,51.2,60.5,63.5,65.8,66.3,68.3,75.9,76.6,75.2,76.1
Cusco,27.7,28.3,27.0,29.0,30.3,33.8,41.0,39.3,33.8,31.0,32.8
Huancavelica,12.2,11.0,10.1,14.2,14.1,14.0,17.0,16.1,11.8,10.7,15.1
Huánuco,23.6,21.2,22.0,19.9,20.9,23.4,23.3,24.7,19.5,17.6,17.3
Ica,59.6,61.6,67.8,74.5,73.6,76.9,79.1,82.7,75.7,65.2,64.8
Junín,35.8,37.7,39.4,39.4,40.0,41.6,40.0,43.5,33.5,29.3,32.7
La Libertad,40.1,40.5,41.4,44.2,43.0,48.0,51.5,52.4,51.2,49.7,50.4
Lambayeque,43.5,42.9,45.3,51.4,46.9,48.1,51.0,54.4,52.3,50.4,51.8
Lima,58.7,52.6,58.7,66.5,67.1,63.0,66.8,72.6,,,
Loreto,13.0,11.5,12.2,11.9,11.2,12.7,16.5,14.0,10.6,11.0,13.7
Madre de Dios,29.7,32.1,31.2,29.1,31.8,36.6,37.4,46.5,28.8,29.7,31.7
Moquegua,51.4,53.2,51.4,50.9,54.4,59.4,60.4,60.5,56.0,51.6,53.2
Pasco,36.5,38.9,37.8,37.0,36.5,35.0,35.8,42.1,34.4,27.9,32.0
Piura,32.4,30.1,30.3,30.5,31.6,33.7,36.6,37.8,30.0,29.2,32.7
Puno,32.7,32.0,31.4,34.7,32.8,38.1,37.5,34.2,30.9,27.9,30.4
San Martín,18.9,20.9,21.0,23.9,26.9,25.9,23.5,28.4,20.3,19.3,17.5
Tacna,49.9,55.1,63.3,65.7,67.9,67.8,71.8,73.2,67.2,62.1,62.5
Tumbes,45.5,47.0,49.0,57.6,58.2,61.3,61.1,65.5,59.2,54.3,51.3
Ucayali,21.6,30.6,25.3,29.0,23.7,26.4,24.8,25.7,24.1,22.3,23.0
