region,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
National,91.1,92.1,92.9,93.9,94.2,94.8,95.2,95.6,96.2,95.6,95.8
Amazonas ,77.6,77.1,74.7,79.5,79.0,82.3,84.7,86.3,86.8,87.2,89.1
Áncash,93.4,93.1,93.5,94.3,95.7,94.7,95.6,96.9,97.3,98.0,97.0
Apurímac,86.0,87.2,87.0,91.3,93.1,92.9,94.0,95.1,95.8,94.4,96.0
Arequipa,96.3,96.3,97.7,97.3,97.2,97.5,97.7,98.5,96.5,97.4,97.1
Ayacucho,81.1,85.4,88.2,88.4,89.6,89.6,90.9,91.4,93.9,94.2,94.2
Cajamarca,74.6,75.8,78.0,85.4,86.6,89.3,90.1,90.7,93.7,91.9,93.7
Callao,99.6,99.4,99.7,99.4,99.7,99.6,99.7,99.7,99.8,99.6,99.3
Cusco,89.1,88.3,88.8,90.3,90.7,91.8,92.9,93.5,94.1,94.5,94.6
Huancavelica,81.5,81.4,84.4,85.5,87.7,89.1,88.1,89.9,90.7,89.4,91.4
Huánuco,75.0,75.1,79.7,86.5,84.3,86.8,86.4,88.3,88.7,85.7,85.0
Ica,96.9,98.1,97.4,98.1,97.8,97.8,98.2,98.7,97.3,96.1,95.8
Junín,87.9,90.1,92.0,91.4,92.1,93.6,93.3,92.4,92.9,92.0,92.8
La Libertad,90.5,93.5,94.0,94.2,95.5,95.9,97.3,97.6,98.5,97.9,98.1
Lambayeque,94.0,96.2,96.6,95.8,96.5,96.7,97.9,97.1,98.6,98.1,98.4
Lima,99.4,99.1,99.2,99.4,99.3,99.4,99.5,99.5,0.0,0.0,0.0
Loreto,72.1,76.1,77.6,77.4,77.9,79.3,78.9,80.0,84.7,82.3,82.4
Madre de Dios,88.2,89.3,87.0,91.0,91.1,91.5,93.3,92.4,93.9,92.5,93.1
Moquegua,95.1,94.6,95.7,94.5,92.9,94.4,93.7,94.5,95.4,94.8,95.6
Pasco,83.6,83.8,85.8,88.1,86.8,88.2,89.2,90.0,92.3,90.8,92.6
Piura,88.4,93.4,94.1,94.6,95.5,95.2,95.0,94.7,96.4,95.6,96.0
Puno,85.5,86.7,88.8,88.9,88.4,91.4,90.9,92.4,92.7,90.8,90.0
San Martín,84.6,87.8,88.5,90.0,91.5,93.9,94.8,95.2,94.4,94.5,94.3
Tacna,96.4,96.4,96.3,96.4,95.9,95.4,96.5,96.5,97.8,96.5,97.3
Tumbes,98.0,98.1,98.1,98.0,97.3,97.4,99.0,98.5,99.0,98.4,99.0
Ucayali,82.5,83.1,83.7,84.9,87.1,87.4,89.0,89.5,90.6,90.6,89.4
