region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
National,14 197.9,14 459.6,14 762.4,15 092.5,15 307.4,15 542.7,15 682.9,15 796.8,15 919.2,16 197.1,16511.0,16 776.5,17 133.1,14 901.8,17 120.1
Amazonas, 215.8, 215.2, 220.4, 226.1, 229.6, 221.6, 226.2, 223.7, 226.4, 232.7,237.9, 238.5, 249.1, 237.4, 258.8
Áncash, 548.0, 574.0, 565.1, 573.3, 573.0, 584.3, 583.8, 608.6, 608.8, 612.0,614.6, 618.1, 638.8, 567.3, 640.8
Apurímac, 230.1, 233.7, 226.8, 231.1, 238.1, 240.7, 250.9, 252.5, 263.8, 257.1,258.5, 262.9, 266.6, 258.9, 285.7
Arequipa, 601.3, 589.0, 597.7, 616.3, 635.1, 628.9, 661.8, 669.3, 666.0, 657.2,678.5, 701.4, 708.6, 550.9, 685.3
Ayacucho, 309.1, 322.1, 316.8, 320.6, 332.8, 320.9, 340.4, 354.3, 351.0, 353.2,359.8, 372.9, 374.7, 352.5, 395.2
Cajamarca, 794.8, 824.2, 817.1, 801.8, 803.7, 768.1, 791.9, 795.9, 801.4, 825.6,870.3, 857.6, 870.5, 848.9, 916.0
Callao, 439.2, 444.1, 468.7, 480.0, 482.3, 487.5, 504.1, 504.2, 512.1, 529.0,533.5, 531.2, 546.8, 425.9, 521.3
Cusco, 648.7, 684.5, 701.9, 692.8, 715.5, 734.7, 726.3, 732.9, 752.9, 736.7,755.1, 736.5, 769.9, 727.0, 792.3
Huancavelica, 226.4, 229.6, 233.3, 232.4, 241.6, 249.5, 249.9, 259.2, 256.1, 258.9,264.3, 265.6, 270.9, 280.8, 301.4
Huánuco, 405.1, 411.8, 422.0, 424.1, 429.2, 431.2, 439.0, 451.0, 458.6, 452.7,451.5, 461.4, 462.5, 439.6, 492.2
Ica, 345.4, 358.8, 367.5, 377.7, 389.6, 394.2, 404.4, 404.5, 389.7, 411.4,407.9, 421.7, 441.2, 376.0, 430.7
Junín, 617.5, 641.9, 642.5, 656.3, 675.3, 678.4, 679.2, 685.5, 698.1, 705.1,699.7, 726.0, 751.8, 654.0, 746.8
La Libertad, 791.3, 807.7, 864.3, 889.7, 876.8, 911.2, 897.2, 911.9, 918.7, 945.9,976.3, 997.6,1 017.9, 844.7, 978.3
Lambayeque, 571.6, 575.0, 606.1, 614.2, 610.5, 616.3, 617.6, 602.9, 615.7, 634.0,628.4, 654.9, 664.9, 569.3, 663.2
Lima,4 284.3,4 395.4,4 469.8,4 614.7,4 718.6,4 867.3,4 847.0,4 828.0,4 925.7,5 047.7,5 190.2,5 249.8,5 344.8,4 222.7,5 023.6
Loreto, 461.5, 441.7, 448.1, 455.6, 462.3, 485.4, 499.3, 493.5, 495.3, 500.1,505.1, 513.9, 514.9, 500.3, 554.4
Madre de Dios, 62.0, 64.5, 66.9, 69.3, 68.7, 72.3, 75.0, 75.9, 79.0, 77.8,81.9, 86.0, 83.7, 80.0, 93.2
Moquegua, 89.3, 87.2, 90.2, 94.9, 93.9, 98.3, 100.6, 100.2, 99.7, 101.5,102.3, 102.9, 106.0, 94.1, 107.4
Pasco, 127.9, 127.2, 148.4, 149.0, 149.0, 152.1, 153.4, 151.5, 152.8, 160.2,160.0, 167.5, 162.2, 164.7, 177.2
Piura, 828.6, 811.9, 848.0, 859.3, 842.8, 867.6, 869.4, 890.1, 887.5, 894.6,905.0, 945.9, 990.4, 889.4,1 012.5
Puno, 713.6, 717.2, 736.2, 759.2, 765.1, 765.2, 781.0, 795.7, 775.9, 770.9,775.1, 795.1, 800.9, 796.0, 887.9
San Martín, 393.6, 392.1, 390.3, 418.3, 429.4, 415.9, 429.1, 430.8, 418.9, 446.5,472.2, 470.9, 491.2, 484.5, 538.0
Tacna, 155.4, 164.5, 157.2, 166.9, 169.8, 169.6, 172.5, 178.0, 173.3, 182.5,179.5, 186.2, 186.2, 152.7, 182.1
Tumbes, 118.5, 114.7, 116.1, 120.2, 121.6, 123.2, 123.6, 125.1, 124.7, 128.9,132.3, 134.1, 135.7, 114.4, 136.3
Ucayali, 219.1, 231.7, 241.1, 248.8, 253.1, 258.2, 259.3, 271.6, 267.2, 275.0,271.0, 277.9, 282.8, 269.8, 299.7
