fps,region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Nacional,71,71.4,71.8,72.2,72.5,72.9,73.2,73.6,74,74.3,74.7,73.9,75,75.5,75.9
1,Amazonas,69.3,69.1,69,69,69.2,69.4,69.7,70,70.4,70.7,71.2,71,69.9,71.6,71.9
2,Ancash,70.2,70.6,70.9,71.3,71.6,71.9,72.3,72.4,72.8,73.1,73.5,73.1,73.9,74.4,75.5
3,Apurimac,67.9,67.9,67.8,67.9,68.1,68.3,68.6,68.9,69.2,69.5,69.9,69.6,68.8,68.6,70.2
4,Arequipa,75.1,75.5,75.8,76.1,76.5,76.4,76.7,77,77.3,77.5,77.8,76.9,77.9,78.2,78.6
5,Ayacucho,64.9,65.4,66,66.5,66.8,67.3,67.8,68.3,68.7,69.2,69.6,68.9,69.7,70.5,70.2
6,Cajamarca,67.8,68.1,68.5,68.9,69.3,69.8,70.3,70.8,71.3,71.8,72.3,72.2,72.4,73.6,74.6
7,Callao,75.9,76.2,76.4,76.7,76.9,77.2,77.5,77.7,78,78.3,78.6,77.5,79,79.1,78.9
8,Cusco,70.2,70.5,70.7,71.1,71.4,71.8,72.2,72.6,73,73.4,73.8,73.4,73.9,74.3,74.6
9,Huancavelica,60.2,60.8,61.3,61.8,62.3,62.7,63.2,63.7,64.1,64.5,64.9,64.5,65.1,66.5,66.2
10,Huanuco,67.7,67.7,67.8,67.9,68.2,68.5,68.8,69.1,69.5,69.9,70.3,69.9,70.5,71.1,71.9
11,Ica,71.8,72.3,72.8,73.3,73.7,73.9,74.4,74.8,75.2,75.6,76,75.3,76.9,77.4,77.8
12,Junin,67.4,67.9,68.4,68.9,69.4,69.8,70.1,70.4,70.7,71.1,71.3,70.8,70.7,71.9,72.2
13,La Libertad,70.6,71.1,71.5,72,72.4,72.8,73.1,73.5,73.9,74.3,74.6,73.7,74.8,75.1,75.9
14,Lambayeque,72.3,72.7,73.1,73.6,74,73.5,73.9,74.4,74.8,75.2,75.6,75.1,76,76.9,77.4
15,Lima ,74.6,75,75.4,75.8,76.1,76.5,76.8,77,77.3,77.6,77.9,76.7,78.4,78.5,78.6
16,Loreto,64.9,65.1,65.4,65.7,66.1,66.6,67.2,67.7,68.3,69,69.6,69,71,71.9,72.8
17,Madre de Dios,70.1,70.2,70.3,70.6,71,71.5,72,72.5,73.1,73.6,74.2,72.6,73.7,75.6,76.5
18,Moquegua,76.1,76.5,76.9,77.2,77.5,77.9,78.4,78.6,78.9,79.2,79.6,78.8,79.7,80.3,81.1
19,Pasco,65.7,66.5,67.2,67.8,68.5,69.1,69.7,70.2,70.8,71.3,71.8,71.3,71.8,71.8,72.1
20,Piura,68.5,68.9,69.4,69.8,70.2,70.6,71,71.3,71.7,72.1,72.5,71.9,73,73.6,73.6
21,Puno,67.4,67.7,68.1,68.5,68.9,69.4,69.8,70.3,70.8,71.5,71.9,71.2,71.3,71.3,72.1
22,San Martin,69.7,69.9,70,70.3,70.6,70.9,71.3,71.7,72.1,72.5,72.9,72,73.4,73.8,74.6
23,Tacna,73.8,74.1,74.4,74.7,75,75.3,76,75.9,76.3,76.6,76.9,76,77.3,77.2,77.9
24,Tumbes,74.2,74.3,74.5,74.7,74.9,75.1,75.4,75.7,75.9,76.3,76.6,75.7,76.7,76.9,78.2
25,Ucayali,67.5,67.8,68.1,68.6,69.1,69.7,70.4,71.1,71.7,72.3,73,72.2,74.1,74.5,75.5
